"product_key","order_date_key","due_date_key","ship_date_key","customer_key","promotion_key","currency_key","sales_territory_key","sales_order_number","sales_order_line_number","revision_number","order_quantity","unit_price","extended_amount","unit_price_discount_pct","discount_amount","product_standard_cost","total_product_cost","sales_amount","tax_amt","freight","carrier_tracking_number","customer_po_number","order_date","due_date","ship_date"
310,20101229,20110110,20110105,21768,1,19,6,"SO43697",1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,\N,\N,"2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
346,20101229,20110110,20110105,28389,1,39,7,"SO43698",1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,\N,\N,"2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
346,20101229,20110110,20110105,25863,1,100,1,"SO43699",1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,\N,\N,"2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
336,20101229,20110110,20110105,14501,1,100,4,"SO43700",1,1,1,699.0982,699.0982,0,0,413.1463,413.1463,699.0982,55.9279,17.4775,\N,\N,"2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
346,20101229,20110110,20110105,11003,1,6,9,"SO43701",1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,\N,\N,"2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
311,20101230,20110111,20110106,27645,1,100,4,"SO43702",1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,\N,\N,"2010-12-30 00:00:00.000000","2011-01-11 00:00:00.000000","2011-01-06 00:00:00.000000"
310,20101230,20110111,20110106,16624,1,6,9,"SO43703",1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,\N,\N,"2010-12-30 00:00:00.000000","2011-01-11 00:00:00.000000","2011-01-06 00:00:00.000000"
351,20101230,20110111,20110106,11005,1,6,9,"SO43704",1,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,\N,\N,"2010-12-30 00:00:00.000000","2011-01-11 00:00:00.000000","2011-01-06 00:00:00.000000"
344,20101230,20110111,20110106,11011,1,6,9,"SO43705",1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,\N,\N,"2010-12-30 00:00:00.000000","2011-01-11 00:00:00.000000","2011-01-06 00:00:00.000000"
312,20101231,20110112,20110107,27621,1,100,4,"SO43706",1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,\N,\N,"2010-12-31 00:00:00.000000","2011-01-12 00:00:00.000000","2011-01-07 00:00:00.000000"
312,20101231,20110112,20110107,27616,1,100,4,"SO43707",1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,\N,\N,"2010-12-31 00:00:00.000000","2011-01-12 00:00:00.000000","2011-01-07 00:00:00.000000"
330,20101231,20110112,20110107,20042,1,98,10,"SO43708",1,1,1,699.0982,699.0982,0,0,413.1463,413.1463,699.0982,55.9279,17.4775,\N,\N,"2010-12-31 00:00:00.000000","2011-01-12 00:00:00.000000","2011-01-07 00:00:00.000000"
313,20101231,20110112,20110107,16351,1,6,9,"SO43709",1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,\N,\N,"2010-12-31 00:00:00.000000","2011-01-12 00:00:00.000000","2011-01-07 00:00:00.000000"
314,20101231,20110112,20110107,16517,1,6,9,"SO43710",1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,\N,\N,"2010-12-31 00:00:00.000000","2011-01-12 00:00:00.000000","2011-01-07 00:00:00.000000"
314,20110101,20110113,20110108,27606,1,100,1,"SO43711",1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,\N,\N,"2011-01-01 00:00:00.000000","2011-01-13 00:00:00.000000","2011-01-08 00:00:00.000000"
311,20110101,20110113,20110108,13513,1,29,8,"SO43712",1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,\N,\N,"2011-01-01 00:00:00.000000","2011-01-13 00:00:00.000000","2011-01-08 00:00:00.000000"
310,20110102,20110114,20110109,27601,1,100,4,"SO43713",1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,\N,\N,"2011-01-02 00:00:00.000000","2011-01-14 00:00:00.000000","2011-01-09 00:00:00.000000"
311,20110102,20110114,20110109,13591,1,98,10,"SO43714",1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,\N,\N,"2011-01-02 00:00:00.000000","2011-01-14 00:00:00.000000","2011-01-09 00:00:00.000000"
314,20110102,20110114,20110109,16483,1,6,9,"SO43715",1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,\N,\N,"2011-01-02 00:00:00.000000","2011-01-14 00:00:00.000000","2011-01-09 00:00:00.000000"
311,20110102,20110114,20110109,16529,1,6,9,"SO43716",1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,\N,\N,"2011-01-02 00:00:00.000000","2011-01-14 00:00:00.000000","2011-01-09 00:00:00.000000"
