"product_key","order_date_key","due_date_key","ship_date_key","reseller_key","employee_key","promotion_key","currency_key","sales_territory_key","sales_order_number","sales_order_line_number","revision_number","order_quantity","unit_price","extended_amount","unit_price_discount_pct","discount_amount","product_standard_cost","total_product_cost","sales_amount","tax_amt","freight","carrier_tracking_number","customer_po_number","order_date","due_date","ship_date"
349,20101229,20110110,20110105,676,285,1,100,5,"SO43659",1,1,1,2024.994,2024.994,0,0,1898.0944,1898.0944,2024.994,161.9995,50.6249,"4911-403C-98","PO522145787","2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
350,20101229,20110110,20110105,676,285,1,100,5,"SO43659",2,1,3,2024.994,6074.982,0,0,1898.0944,5694.2832,6074.982,485.9986,151.8746,"4911-403C-98","PO522145787","2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
351,20101229,20110110,20110105,676,285,1,100,5,"SO43659",3,1,1,2024.994,2024.994,0,0,1898.0944,1898.0944,2024.994,161.9995,50.6249,"4911-403C-98","PO522145787","2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
344,20101229,20110110,20110105,676,285,1,100,5,"SO43659",4,1,1,2039.994,2039.994,0,0,1912.1544,1912.1544,2039.994,163.1995,50.9999,"4911-403C-98","PO522145787","2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
345,20101229,20110110,20110105,676,285,1,100,5,"SO43659",5,1,1,2039.994,2039.994,0,0,1912.1544,1912.1544,2039.994,163.1995,50.9999,"4911-403C-98","PO522145787","2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
346,20101229,20110110,20110105,676,285,1,100,5,"SO43659",6,1,2,2039.994,4079.988,0,0,1912.1544,3824.3088,4079.988,326.399,101.9997,"4911-403C-98","PO522145787","2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
347,20101229,20110110,20110105,676,285,1,100,5,"SO43659",7,1,1,2039.994,2039.994,0,0,1912.1544,1912.1544,2039.994,163.1995,50.9999,"4911-403C-98","PO522145787","2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
229,20101229,20110110,20110105,676,285,1,100,5,"SO43659",8,1,3,28.8404,86.5212,0,0,31.7244,95.1732,86.5212,6.9217,2.163,"4911-403C-98","PO522145787","2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
235,20101229,20110110,20110105,676,285,1,100,5,"SO43659",9,1,1,28.8404,28.8404,0,0,31.7244,31.7244,28.8404,2.3072,0.721,"4911-403C-98","PO522145787","2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
218,20101229,20110110,20110105,676,285,1,100,5,"SO43659",10,1,6,5.7,34.2,0,0,3.3963,20.3778,34.2,2.736,0.855,"4911-403C-98","PO522145787","2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
223,20101229,20110110,20110105,676,285,1,100,5,"SO43659",11,1,2,5.1865,10.373,0,0,5.7052,11.4104,10.373,0.8298,0.2593,"4911-403C-98","PO522145787","2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
220,20101229,20110110,20110105,676,285,1,100,5,"SO43659",12,1,4,20.1865,80.746,0,0,12.0278,48.1112,80.746,6.4597,2.0187,"4911-403C-98","PO522145787","2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
326,20101229,20110110,20110105,117,285,1,100,5,"SO43660",1,1,1,419.4589,419.4589,0,0,413.1463,413.1463,419.4589,33.5567,10.4865,"6431-4D57-83","PO18850127500","2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
319,20101229,20110110,20110105,117,285,1,100,5,"SO43660",2,1,1,874.794,874.794,0,0,884.7083,884.7083,874.794,69.9835,21.8699,"6431-4D57-83","PO18850127500","2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
300,20101229,20110110,20110105,442,288,1,19,6,"SO43661",1,1,1,809.76,809.76,0,0,699.0928,699.0928,809.76,64.7808,20.244,"4E0A-4F89-AE","PO18473189620","2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
296,20101229,20110110,20110105,442,288,1,19,6,"SO43661",2,1,1,714.7043,714.7043,0,0,617.0281,617.0281,714.7043,57.1763,17.8676,"4E0A-4F89-AE","PO18473189620","2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
304,20101229,20110110,20110105,442,288,1,19,6,"SO43661",3,1,2,714.7043,1429.4086,0,0,617.0281,1234.0562,1429.4086,114.3527,35.7352,"4E0A-4F89-AE","PO18473189620","2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
223,20101229,20110110,20110105,442,288,1,19,6,"SO43661",4,1,4,5.1865,20.746,0,0,5.7052,22.8208,20.746,1.6597,0.5187,"4E0A-4F89-AE","PO18473189620","2010-12-29 00:00:00.000000","2011-01-10 00:00:00.000000","2011-01-05 00:00:00.000000"
