customer_id,region,segment
1,South,Mid-Market
2,East,SMB
3,West,Enterprise
4,North,Mid-Market
5,South,SMB
6,East,Enterprise
7,West,Mid-Market
8,North,SMB
9,South,Enterprise
10,East,Mid-Market
11,West,SMB
12,North,Enterprise
13,South,Mid-Market
14,East,SMB
15,West,Enterprise
16,North,Mid-Market
17,South,SMB
18,East,Enterprise
19,West,Mid-Market
20,North,SMB
21,South,Enterprise
22,East,Mid-Market
23,West,SMB
24,North,Enterprise
25,South,Mid-Market
26,East,SMB
27,West,Enterprise
28,North,Mid-Market
29,South,SMB
30,East,Enterprise
31,West,Mid-Market
32,North,SMB
33,South,Enterprise
34,East,Mid-Market
35,West,SMB
36,North,Enterprise
37,South,Mid-Market
38,East,SMB
39,West,Enterprise
40,North,Mid-Market
