line_id,order_id,category,quantity,amount
1,1000,Accessories,5,1712.99
2,1000,Components,2,1611.72
3,1000,Accessories,5,1590.09
4,1000,Bikes,4,620.73
5,1001,Accessories,4,1314.77
6,1002,Bikes,1,90.59
7,1003,Clothing,4,1190.1
8,1003,Components,5,482.62
9,1003,Clothing,4,29.1
10,1003,Bikes,4,1316.51
11,1004,Bikes,1,1135.02
12,1004,Bikes,4,233.45
13,1004,Clothing,4,152.32
14,1005,Components,2,1855.54
15,1006,Accessories,1,1141.16
16,1006,Components,3,687.05
17,1006,Clothing,3,50.0
18,1006,Accessories,1,286.5
19,1007,Components,5,393.0
20,1007,Components,2,850.08
21,1007,Accessories,1,801.81
22,1007,Components,1,554.19
23,1008,Bikes,2,442.22
24,1009,Clothing,4,165.33
25,1009,Bikes,2,1173.81
26,1009,Components,1,1210.54
27,1010,Components,2,635.41
28,1010,Components,5,514.01
29,1010,Components,2,1484.06
30,1010,Components,4,1766.74
31,1011,Bikes,1,96.62
32,1012,Clothing,4,1650.96
33,1012,Accessories,3,1049.75
34,1012,Bikes,2,472.22
35,1012,Bikes,3,440.55
36,1013,Clothing,4,902.5
37,1014,Bikes,3,294.05
38,1014,Accessories,3,1320.73
39,1015,Bikes,1,1204.78
40,1015,Bikes,4,153.2
41,1015,Clothing,3,290.48
42,1016,Components,3,716.63
43,1017,Accessories,5,44.65
44,1017,Bikes,1,199.48
45,1017,Bikes,3,1761.99
46,1017,Clothing,4,1869.82
47,1018,Bikes,2,1915.64
48,1018,Bikes,4,1564.29
49,1018,Accessories,3,1794.91
50,1018,Clothing,3,303.58
51,1019,Components,3,821.42
52,1019,Clothing,2,1275.66
53,1019,Components,2,781.15
54,1019,Clothing,2,289.63
55,1020,Bikes,3,1647.28
56,1021,Components,4,777.45
57,1021,Accessories,3,1438.23
58,1021,Accessories,3,167.86
59,1022,Clothing,3,1305.59
60,1022,Bikes,2,822.27
61,1022,Components,1,1543.04
62,1023,Bikes,1,904.03
63,1023,Clothing,1,1375.3
64,1024,Components,1,1515.0
65,1024,Bikes,2,468.38
66,1024,Clothing,5,1400.68
67,1025,Components,4,918.0
68,1025,Bikes,4,1109.03
69,1025,Clothing,4,666.41
70,1025,Components,1,1449.43
71,1026,Components,2,1801.97
72,1027,Clothing,1,710.04
73,1027,Bikes,1,892.98
74,1027,Accessories,3,985.15
75,1028,Accessories,1,362.33
76,1029,Accessories,2,1999.65
77,1029,Accessories,4,1166.32
78,1030,Components,5,1038.15
79,1030,Clothing,3,1349.17
80,1030,Components,3,1704.53
81,1031,Components,4,1081.09
82,1031,Bikes,5,766.52
83,1031,Bikes,5,1836.36
84,1031,Bikes,4,204.58
85,1032,Clothing,2,956.86
86,1032,Components,3,878.68
87,1032,Accessories,5,648.08
88,1032,Components,4,1243.43
89,1033,Bikes,2,327.95
90,1034,Clothing,2,1247.14
91,1034,Bikes,4,1467.17
92,1034,Bikes,5,1254.58
93,1035,Bikes,4,1273.35
94,1035,Components,5,424.45
95,1035,Components,5,448.02
96,1035,Components,2,1831.35
97,1036,Bikes,2,1780.16
98,1036,Components,1,533.81
99,1037,Components,2,817.5
100,1037,Bikes,1,417.85
101,1037,Clothing,3,248.51
102,1037,Clothing,5,1997.2
103,1038,Bikes,1,94.12
104,1038,Accessories,2,395.35
105,1038,Bikes,2,361.53
106,1038,Components,3,1855.25
107,1039,Bikes,1,667.12
108,1039,Accessories,4,1040.27
109,1039,Accessories,2,1209.84
110,1039,Bikes,1,1691.64
111,1040,Components,1,1034.87
112,1040,Bikes,3,1788.51
113,1041,Clothing,3,573.44
114,1041,Bikes,2,1632.99
115,1042,Clothing,4,1535.15
116,1042,Accessories,2,1450.82
117,1042,Bikes,3,617.35
118,1043,Components,3,1890.46
119,1044,Components,1,1528.24
120,1044,Bikes,1,1238.48
121,1044,Components,3,898.42
122,1044,Bikes,2,1303.06
123,1045,Clothing,3,1109.11
124,1045,Accessories,5,1144.6
125,1045,Bikes,4,1622.87
126,1046,Accessories,4,1940.74
127,1046,Accessories,5,1230.12
128,1047,Clothing,3,1070.21
129,1047,Accessories,3,1130.08
130,1047,Clothing,3,73.19
131,1047,Components,5,104.69
132,1048,Bikes,3,1501.76
133,1048,Bikes,5,1977.76
134,1048,Clothing,1,1599.23
135,1048,Components,4,1443.87
136,1049,Bikes,5,214.98
137,1049,Accessories,2,1958.07
138,1050,Bikes,5,845.97
139,1051,Bikes,3,896.87
140,1051,Accessories,4,1210.08
141,1052,Clothing,5,1633.96
142,1052,Components,3,1473.88
143,1052,Components,4,245.46
144,1052,Clothing,5,1257.45
145,1053,Components,2,1014.26
146,1053,Components,1,1264.25
147,1054,Bikes,5,95.33
148,1054,Components,5,571.01
149,1054,Bikes,2,1110.24
150,1054,Clothing,4,967.54
151,1055,Bikes,4,1622.18
152,1056,Accessories,4,1499.7
153,1056,Accessories,2,750.52
154,1057,Clothing,5,1522.79
155,1057,Components,4,1314.54
156,1057,Bikes,4,1752.85
157,1058,Accessories,4,611.76
158,1058,Bikes,1,634.09
159,1058,Bikes,3,999.63
160,1058,Clothing,3,1765.79
161,1059,Accessories,5,1197.64
162,1059,Clothing,4,1069.82
163,1059,Clothing,4,648.89
164,1060,Bikes,3,1660.48
165,1060,Bikes,3,1360.47
166,1061,Clothing,4,1090.31
167,1061,Components,2,197.68
