order_id,order_date,region,category,quantity,amount
1000,2025-01-01,North,Components,1,224.95
1001,2025-01-01,North,Bikes,5,1624.03
1002,2025-01-01,West,Components,4,121.82
1003,2025-01-01,West,Bikes,1,1353.42
1004,2025-01-02,North,Bikes,5,2883.25
1005,2025-01-02,South,Accessories,1,18.27
1006,2025-01-02,South,Components,5,194.58
1007,2025-01-02,South,Bikes,1,2068.24
1008,2025-01-02,North,Components,5,218.47
1009,2025-01-02,West,Bikes,5,2172.35
1010,2025-01-03,West,Clothing,3,71.57
1011,2025-01-03,South,Clothing,2,53.29
1012,2025-01-03,West,Bikes,3,2075.84
1013,2025-01-03,North,Accessories,1,28.31
1014,2025-01-03,East,Accessories,2,23.13
1015,2025-01-04,North,Accessories,5,17.84
1016,2025-01-04,East,Clothing,5,61.0
1017,2025-01-04,West,Accessories,1,40.59
1018,2025-01-04,West,Bikes,1,2877.26
1019,2025-01-04,East,Bikes,5,2415.09
1020,2025-01-05,East,Clothing,1,92.7
1021,2025-01-05,North,Accessories,4,31.15
1022,2025-01-05,East,Bikes,2,1304.81
1023,2025-01-05,West,Components,1,225.83
1024,2025-01-05,East,Components,2,240.64
1025,2025-01-06,East,Clothing,4,91.84
1026,2025-01-06,South,Components,2,154.56
1027,2025-01-06,North,Components,4,301.05
1028,2025-01-06,North,Components,2,186.83
1029,2025-01-06,East,Accessories,2,38.69
1030,2025-01-07,West,Bikes,4,1820.91
1031,2025-01-07,West,Accessories,4,32.78
1032,2025-01-07,South,Bikes,4,1245.07
1033,2025-01-07,North,Components,1,142.73
1034,2025-01-07,North,Bikes,3,2059.3
1035,2025-01-07,South,Bikes,5,984.7
1036,2025-01-08,East,Components,5,294.09
1037,2025-01-08,North,Clothing,4,72.29
1038,2025-01-08,East,Accessories,1,36.41
1039,2025-01-08,East,Components,3,140.49
1040,2025-01-08,South,Accessories,5,51.07
1041,2025-01-09,East,Components,2,385.45
1042,2025-01-09,East,Bikes,1,2473.5
1043,2025-01-10,East,Clothing,2,108.83
1044,2025-01-10,South,Clothing,2,85.95
1045,2025-01-10,South,Accessories,2,47.33
1046,2025-01-10,North,Accessories,1,31.15
1047,2025-01-11,East,Accessories,4,27.1
1048,2025-01-11,East,Clothing,1,112.76
1049,2025-01-11,West,Components,2,140.48
1050,2025-01-11,North,Clothing,4,49.58
1051,2025-01-12,North,Bikes,4,2639.1
1052,2025-01-12,South,Components,4,248.96
1053,2025-01-12,West,Clothing,4,39.68
1054,2025-01-12,North,Accessories,2,47.47
1055,2025-01-13,West,Components,2,118.95
1056,2025-01-13,East,Accessories,2,43.85
1057,2025-01-13,North,Components,5,117.18
1058,2025-01-14,South,Accessories,2,57.71
1059,2025-01-14,East,Bikes,5,1377.6
1060,2025-01-14,East,Components,3,331.4
1061,2025-01-15,North,Accessories,3,51.3
1062,2025-01-15,West,Accessories,5,44.07
1063,2025-01-15,North,Components,4,264.48
1064,2025-01-15,South,Components,2,286.63
1065,2025-01-15,North,Components,5,247.65
1066,2025-01-15,West,Bikes,1,1538.09
1067,2025-01-16,East,Bikes,1,1370.37
1068,2025-01-16,North,Bikes,1,1931.45
1069,2025-01-16,South,Accessories,3,29.89
1070,2025-01-16,West,Accessories,5,37.57
1071,2025-01-16,East,Components,5,312.79
1072,2025-01-16,South,Components,4,353.42
1073,2025-01-17,North,Accessories,2,34.8
1074,2025-01-17,East,Accessories,1,19.26
1075,2025-01-18,South,Clothing,4,44.41
1076,2025-01-18,North,Components,4,326.49
1077,2025-01-18,South,Accessories,2,23.04
1078,2025-01-19,South,Accessories,3,30.46
1079,2025-01-19,East,Clothing,1,40.14
1080,2025-01-19,West,Clothing,1,79.01
1081,2025-01-19,East,Accessories,5,30.14
1082,2025-01-19,South,Bikes,1,1076.76
1083,2025-01-20,South,Clothing,3,55.26
1084,2025-01-20,East,Components,4,347.59
1085,2025-01-21,North,Accessories,3,45.67
1086,2025-01-21,South,Bikes,4,2563.21
1087,2025-01-21,North,Bikes,1,1414.58
1088,2025-01-22,South,Bikes,1,2148.9
1089,2025-01-22,West,Clothing,1,105.0
1090,2025-01-22,West,Clothing,3,116.07
1091,2025-01-22,South,Components,1,123.47
1092,2025-01-23,South,Clothing,3,36.62
1093,2025-01-23,South,Clothing,3,77.08
1094,2025-01-23,South,Accessories,3,37.23
1095,2025-01-24,North,Bikes,1,2985.09
1096,2025-01-24,South,Bikes,5,2419.25
1097,2025-01-24,West,Accessories,1,26.53
1098,2025-01-24,West,Accessories,5,43.82
1099,2025-01-25,East,Components,2,394.53
1100,2025-01-25,East,Components,1,227.8
1101,2025-01-25,East,Components,4,115.11
1102,2025-01-25,West,Components,5,126.99
1103,2025-01-26,North,Components,4,310.91
1104,2025-01-26,West,Components,1,156.46
1105,2025-01-26,East,Clothing,5,63.03
1106,2025-01-26,East,Clothing,2,52.95
1107,2025-01-27,West,Components,1,111.31
1108,2025-01-27,South,Accessories,2,27.93
1109,2025-01-27,North,Bikes,2,1029.15
1110,2025-01-27,West,Accessories,1,40.88
1111,2025-01-28,North,Clothing,5,85.38
