ticket_id,customer_id,hours
1,1,7.98
2,1,7.97
3,1,6.8
4,3,7.98
5,3,0.65
6,4,5.17
7,4,1.45
8,6,4.92
9,8,7.26
10,8,7.03
11,8,3.63
12,9,3.8
13,9,6.79
14,9,1.13
15,10,4.39
16,12,3.45
17,15,0.99
18,16,7.27
19,16,2.87
20,18,3.56
21,20,3.03
22,20,5.45
23,24,2.56
24,24,5.07
25,25,3.04
26,26,3.18
27,27,7.11
28,27,2.61
29,27,0.67
30,28,1.14
31,28,5.26
32,29,6.75
33,29,7.16
34,29,7.68
35,30,2.34
36,31,7.34
37,32,7.19
38,33,2.87
39,33,3.54
40,34,4.72
41,34,5.93
42,35,7.45
43,35,1.54
44,35,2.04
45,36,4.61
46,36,3.14
47,38,2.33
48,38,7.49
49,39,6.14
50,39,4.14
51,39,7.96
52,40,0.5
53,40,2.33
54,40,2.74
